,Quote,Keyword
903,You've really got to hold on to what's important to you.,hold
904,"Broadly speaking, there are two reasons a person feels the desire to teach something: Either he wants to pass on his successes or he wants to pass on his failures.",reasons
905,"I just really don't wanna meet a disappointing end, with someone burning my bones without even knowing who they belonged to.",wanna
906,I don't understand the feelings of the weak. The law of the world is survival at its fittest. Its how the weak are weeded out. It just means those people that died were too weak. Its only natural for the weak to perish. ,weak to perish
907,"I understand now. The world is not cut from the same cloth. It is because it is overflowing with inexplicable, unidentifiable things that the world is so beautiful.",overflowing
908,"A person who can't care about himself can't protect anyone, I think.",person
909,"Oppression. Rule by fear. dictatorships. It's a strange thing. Throughout history, for some reason, the lives of such rulers have always ended in the same way: Assassination by someone who isn't even part of a combat unit.",lives
910,Is being silent and suppressing  your own feelings really being thoughtful of the other person?,silent
911,"The writing end when the writing ends... No... Accurately said, it is not written to an end. If you write a story to a certain point, can you say it is fully written? This has been paining me in all those long years as someone who writes. The journeys of humans make for such interesting stories, yet... But where does the journey start and where does it end... Even I do not know an answer to this...",humans
912,"""Believing in someone."" That's a weird phrase, isn't it? After all, if you truly believed in a person, you wouldn't need to say, ""I believe you."" It's like saying, ""I believe in air."" I don't mean to say that ""believing in something"" is like a lie. ""Believing"" is really a term of hope of wanting to believe. ",term of hope
913,The future is always blank. Only your willpower can leave footsteps there.,willpower can leave
914,All of the connections we encounter in this world serve as teachers who nurture us.,connections
915,"If you're ever lost in the darkness, follow the compass in your heart.",lost
916,"So because you think you got the ending, you're giving up on viewing the whole play? Even though it could still lead to a climax that you weren't able to predict?",lead
917,"Talent is something you make bloom, instinct is something you polish.",make
918,"If you want to stand with your own will, you don't have any other choice than to let the illusions you have lost remain in the ideals you were following in the past.",stand
919,"Doing this and that for your country is surely not your job, but the kings. But taking action for your country and her people - your parentage has no bearing on that. It is a most noble thing.",noble
920,"And yet, at the end of the day, we are just like tree leaves dancing in a whirlpool. No matter how we dance, we are only swallowed by the whirlpool and disappear...",matter
921,"When a human, gives birth to a child, they give it a form. When they give it a name, they recognize it. And when they raise it in the world, they deepen it's existence.",raise
922,"Even if you put aside regret, you´ll end up feeling it anyway. Right now, you need to make sure you grasp this good feeling and never forget it.",make
923,"At times, I feel as though the whole world is gray, as though time is standing still. But time never stops. It moves forward endlessly, as surely as bodies buried in the ground will one day become white bones. Listen, it's always you who stops time. If you stop in fear of the future - you gain nothing, and nothing begins. You spend your life as though already dead. Whether you wish it to or not - time never stops. That's why there is nothing more interesting than this world. Don't be too negative. You haven't become ashes just yet. You have your flesh and blood, and your bones are supporting you.",Listen
924,Stories aren't always guaranteed a happily ever after.,guaranteed
925,Being unable to trust anything is the same as being unable to sense other people's love.,trust
926,Sympathy only gets people hurt. ,people
927,"To take responsibility is to take pain onto yourself. It means to bear more pain than what others felt because of your mistakes! If you ruined someone's silver tableware, you must repay with gold tableware. The president of a polluting manufacturing plant must live beside the plant's chimney. That's what taking responsibility means. However the people in so-called high positions never see the consequences. When mistakes are made, they will casually bow their heads and apologize. They think that's enough. Are you one of them too?",consequences
928,"Friendship is unnecessary, like philosophy, like art. It has no survival value. Rather it is one of those things that give value to survival.",things that give
929,"Accept me for what I am today, don't reject me because of what I was yesterday.",reject
930,"But for me, just having fun wasn't enough. The support of my friends was equally important. They encouraged me through my struggles. They're all so different from me, but they're honest and determined. We fought, but we also worked together. I know my mother had a friend like that too. Someone to have fun with. Someone to share her worries. Mom, I have finished the song we promised to write. Sorry it took so long. I'm glad I could create this song with you and my friends. I'll treasure it always for bringing us together.",mother
931,"Nothing can be communicated without words but if you really care about someone, even the smallest details are important to notice.",communicated
932,"Don't be too negative. You haven't become ashes just yet. You have your flesh and blood, and your bones are supporting you.",flesh
933,"Matsu, you said that people and fireworks bloom like beautiful flowers for an instant and then fade away. That may be true, but Matsu, even if it's only for a moment, I want you to bloom by my side and when you fade away... do so at my side. In return, I will... make beautiful flowers bloom by your side again and again.",make
934,"Ah, my most ugly heart. I hate, hate, hate it, so I can’t help but sneer all the time.",n’t
935,"The skull is one of the most eloquent bones in existence. If you just ask, it will tell you many things.",things
936,I don't like practice. I just hate losing even more.,hate
937,Those who lack resolve are incapable of even wiping away their own tears. ,lack
938,"Fear is freedom! Subjugation is liberation! Contradiction is truth! These are the truths of this world! Surrender to those truths, you pigs who fawn over clothing! ",Contradiction is truth
939,"There are no inherently bad people. Everyone believes that, myself included. I don’t doubt the existence of virtue. And yet people bare their fangs when it seems they can profit. People will rationalize their own behavior whenever they become tainted with evil",rationalize
941,"Was I able to live inside someone’s heart? Was I able to live inside your heart? Do you think you’ll remember me at least a little? You’d better not hit ""reset!"" Don’t forget me, okay? That’s a promise, okay? I'm glad it’s you, after all. Will I reach you? I hope I can reach you.",hope
942,"Really, what a joke. I just didn’t understand what these nice guys were thinking about. Because they were so in love with everyone getting along, they ended up opening up other problems when they try to fix one. I didn’t even ask to be thrown into that circle either.",thrown
943,"If you still love her, I can't help that, but don't meddle with her half-heartedly. If you can surpress your feelings, then leave it.",surpress
944,"When a man of the sea falls in love, he dives in head first!",man
945,Your own path is for you to find out on your own.,path
946,"When I want to do something, I do it, regardless of the rest of the world. When I don't, I don't, and that's that.",rest
947,I prefer to have my nightmares with open eyes.,prefer
948,"It's odd, isn't it? People die everyday and the world goes on like nothing happened.",die
949,"Adlet, I hated you. I hated the fact that I was starting to believe in you. I still hate you. The more I talk to you, the more I hate you. I believe you, even though I decided to never believe anyone again.",decided
950,"If you want to be strong, smile! He who can smile, even when he's so sad that he wants to die, when it's so painful that he wants to give it all up and run away, is the one who becomes strong.",sad
951,"I think there are some things that you have to do, even if they're a crime. Someone has to do them, even if it means taking the blame.",taking
952,"We do not stop playing games because we grow old, we grow old because we stop playing.",games
953,"Huh? DO whatever you want without DICE? As if someone like you could understand. What's so bad about wanting to reach higher than yourself? After all, you're already up there. The place where I've always longed to be. If anything, isn't this world at fault? There's plenty of proof this world was created unfairly. The Crime rate's higher than ever. Wealth is the determining factor in life, and so when the most prestigious universities held an experiment, ""Does appearance affect the outcome in a trail?"" When comparing the results of the beautiful and the plain, the beautiful ones were declared innocent more often. Looks decide your worth. LOOKS, SEX, AGE, ETHNICITY, EDUCATION, JOB, once you realize that there will always be a 'High' and 'Low"", the goal is clear. Higher... and Higher! I'm sure that looking down from the highest place will be beautiful sight, so I must reach higher!",understand
954,There is more than one way to win a game. You can win without fighting!,win without fighting
955,"Death by sword. Death by broken bones. Death by crushing. There's not much difference, right? You die at the end.",die
956,Regretting the past forever won't solve anything.,past
957,"I'm not your weapon, demon king, or savior! I'm Rin Okumura! And when I'm done, I'm going to be the best exorcist you ever laid your eyes on!",exorcist
958,Believe you can do it. For sure. Because I... belong to you now.,belong
959,"Is that really... the limit to your power? Do you honestly think that you won't get any stronger for the rest of your life? Instead of sitting around frustrated, it's better to keep on moving forward.",sitting
960,I know no one expects much from me! And I know better than anyone how useless a C Class hero is! I know I'm too weak even for B Class! I know more than anyone else that I'll never beat you! But I must fight you anyway! I'm the only one left! It's not about winning or losing! I just have to stand here and face you!,stand
961,I'm not a hero because I want your approval. I do it because I want to!,hero
962,"After all, most human beings are completely selfish. Eventually, they will meet their desires and try to help others. However, that isn't their only desire, they wish to stir people up. It is simplistically easier to do so anyway, they think it is a stupid ideal to show love to anyone but themselves. ",simplistically
963,"If you can't remember something, it is merely because it was not worth remembering.",remember
964,"No matter how crazy it may be, or how dangerous it may be, even if it's something personal, it doesn't matter! Anything that you're worried about, I'll worry right along with you and think of a solution! Just like you did for me all those times!",times
965,"Forget about me, and starting tomorrow live your own life. Don't keep dragging the dead into your life, otherwise your life would get screwed up and you won't be happy in the future, okay?",dragging
966,"We will never laugh at ourselves. Just as earthworms do not fear darkness and penguins are not ashamed of their inability to fly. That's the meaning of life, is it not?",meaning
967,"By abandoning offense, even without winning, the result will be effectively victory.",abandoning
968,"If you can't see something through the end, then don't do anything.",end
969,"If you bottle up your sadness too much, you'll forget what's really important.",bottle
970,"Suna, maybe people all have a hot, molten core inside their hearts, but they just live their lives, never showing it to the world, as if nothing is really going on.",live
971,"You idiot. You'd gotten yourself up in a tizzy about romance, right? ""Love"" you experience in that state is just self-delusion. There's no point in getting depressed over love like that.",depressed over love
972,"On this planet you call females who have yet to become adults, girls. It makes sense then that since you'll eventually become withes, you should be called Magical Girls.",makes
973,"If you trust in the possibilities within and try with all your might, the path will show itself to you!",trust
974,All things shine at their most brilliant when they're being broken.,things
975,"You can't trust people who call themselves your friends after you've just met them. This is a trap. I know it. A friend who gets close to the protagonist like this is actually the boss, bullying them from the shadows, cornering them into utter despair. And then comes this line... ""The truth is I've hated you from the moment I met you!""",truth
976,"Everyone's the same, no exceptions.  All of them, equal before god.",equal
977,"The human psyche goes out of whack so easily with minor elements, such as wall colors and staircase placement. Those who use them every day would be affected more dramatically.",day
979,"It only took a moment for everything to click. In that instant, I understood. A leader is somebody who can bring a sense of calm and excitement at the same time.",leader
980,"If you keep trying to reason with yourself instead of listening to your feelings, you'll never be able to feel true happiness.",reason
981,Sins you've committed cling to your soul and then continue to haunt you forever.The sins that have gone unpunished don't get forgiven until you die.,committed
982,"Whatever you lose, you'll find it again, but what you throw away you'll never get it back.",find
983,"Destiny. Fate. Dreams. These unstoppable ideas are held deep in the heart of man. As long as there people who seek freedom in this life, These things shall not vanish from the Earth.",unstoppable ideas
984,"If nobody cares to accept you and wants you in this world, accept yourself and you will see that you don't need them and their selfish ideas.",cares
985,The past does not exist to remind us that the future cannot be changed. It exists to remind us what the future can be.,exist
986,"Your emotions have nothing to do with winning or losing,  but they're motivating us more than you might expect.",emotions
987,"Life is all about ""selection"". There's no such thing as a life of being pushed around by circumstances or a life of doing as one is told.  It is you who selected to be ""swept along"" ",selected
988,Looking at your own memories is recognizing the parts of you that you don't want to face.,memories
989,"As long as humans are not virtuous beings, desire will always win over the fear of punishment. What’s necessary is not punishment, but to deal with that desire.",deal
990,"The important things in life, like feelings, hearts, and souls, are all things you can never see. The more you try to reassure yourself that they exist, the more you feel they don't exist at all. But right now, I know for sure that they do exist. They're so close, you can almost touch them.",touch
991,"Human emotions are just black or white sometimes there and consistent and can even be contradictory, but that's all right.",emotions
992,"The smell of blood, gunpowder and iron. This is what humanity's all about. Well then, the man in charge must always lead from the front. And yet be the last one to die.",man
993,"They are two types of people. Those who let go and those who are let go. How many times have I watched people leave up until now? I may have been able to reach them if I'd reached out, but I was afraid of being pushed away, so I simply watched them disappear into the distance.",watched them disappear
994,"No matter how severe the situation is, if you continue to stay there, you'll accept everything as a everyday life.",matter
995,"A journey of a thousand miles begins with a single step. Even though each step is small, you never know if you'll end up achieving your major goal.",end
996,"Even if I found happiness, my weakness can't be discarded. But, even so, I'm sure that we took the right path to move forward.",path
997,These girls are pixels. Data. I know that. So how would you describe the girl you like? Protein? Calcium? A pointless argument. What’s important is that there’s love. Isn’t that what you people always say?,describe the girl
998,The end result is important. But what's truly important... is the journey to get there.,journey
999,"Survival of the fittest' is just a pretty lie that they tell you. A lie to make weak people believe that if they try their best, they can come out on top. Truth is, it isn't the weak that get eaten. It's not about strength, it's about numbers. The ones who stand at the top of the food chain are the brainless dolts. The loudmouths. Because there are so, so many of them. You know it's true. Everybody does. You all just turn a blind eye and pretend not to notice.",dolts
1000,Silence implies consent.,implies
1001,Souls of the dead are like a bunch of leftover feelings from those who've died.,dead
1002,One who relies overly on a single skill will be brought low by that very same skill.,relies
1003,"No matter how much talent you have, if you aren't the best, you're nothing because there can only be one king. If you're in his shadow, then history won't see you.",history
1004,"It is right for me, but not for you. Either way, the concept of ""right"" means no more than that.",concept
1005,"Whats the probability of drawing the ace of spades from a deck with no jokers? Normaly it would be 1/50. But what if its a brand new deck? The position of cards in a new deck are typically identical, so that means if you take out the jokers and draw the card at the very bottom, it's the ace of spades almost 100% of the time. Oh that's right! I didn't say a word about it being a new deck. Rather, you didn't ask. Being in the ""no"" gives you the power to turn the probability of winning from 1.92% to 100%. The more knowledge of a party will be the inevitable victor. ",identical
1006,I am the God placed here to save the weak and create a perfect world.,save
1007,The last ones standing are the victors. Only the strongest. If you want to be the last one standing become strong.,strong
1008,"A victor must speak not of the current state of the world, but of how it should rightfully be.",victor
1009,"Once drowned in the depths of darkness, you lose sight of light. When that light has dispersed there is no return. My light has died out long ago and so there's nothing back for me to go back, or look forward to I shall continue to indulge myself in this darkness until it completely consumes me, then I will be nothing but an empty course left on this cold & cruel world to rot.",died out long
1010,"There's no match you can't win, and there's no match that you'll win for sure.",win
1011,People can't live for the future without accepting reality.,live
1012,I'll sooner die than become burden.,sooner
1013,"Every individual human affects the surrounding environment. But humans do not exist for the things and people around them. Often, they mistakenly think that they wish to exist for the sake of others, or to help everyone. They can not accept that they don't know why they exist, yes? They always want an answer. That is the nature of the animals called ""humans"".",accept
1014,"No one fears death. They fear the life that leads up to death. If one could die without suffering, no one would fear death, right? Being alive is, itself, an exception. The natural state of things is death. And life is, itself, a kind of sickness. When the illness is cured, your life vanishes.",illness
1015,Does math bring out your wrath?,math
1016,"I've never been victimized for anything. I am just doing what I can for me and my comrades. And right now, you're in my way.",comrades
1017,"Do you know the phrase “enough specks of dust creates a mountain”? Or maybe “three heads are better than one.” In other words, when people gathered together, they become even stronger and more secure. However, we were a group of failures who had gathered to do pointless things.",people gathered
1018,"If you realize you made a mistake with the way you've been living your life, you just have to take the next moment and start over.",realize
1019,God would never put us through all this suffering if he didn't think we could bear it.,put
1020,"If you let yourself get depressed, you'd be making light of the people who trust and follow you.",making
1022,There's nothing more satisfying than conquering all types of girls.,satisfying
1023,"The sounds you find pretty, and the sounds the other members find pretty... Are they really the same?",members
1024,"No, but I can learn. I'll bathe in blood. If that's what it takes to protect my friends, I'll take it. All the hatred, the disease. I'll take it as my own and end it. ",end
1025,"How many people you killed, or how many you let live, it doesn't matter to me. You people incurred my wrath... That's reason enough, for you to meet your demise. ",reason
1026,"To put things simply, if your past makes your present... Then your present can and will make your future. When you think about it that way... You absolutely have the potential to be anything you want to be, don't you agree?",absolutely
1027,Love is when it isn't fun to be with that person. It's when nothing goes the way you want. When you're not having fun... and yet you still want to be with that person.,fun
1028,"Whether it's disappointing or not depends on the person. Things like uneasiness or indecision are in everyone's lives. What's important is to appreciate and grow from every kind of result. If you can grow from them, you can understand that all events are for the purpose of growing and you can appreciate them.",understand
1029,"We're basically developing at this point, and we don't know the limits of our potential. Even if we felt those limits we would still keep aiming higher.",felt
1030,Y-you actually used your head??? You're going to get a fever!,fever
1031,But now we can fight. Even if they read us or catch up to us...,read
1033,"I'm bothered by the very fact that people exist, but you're an exception.",bothered
1034,"If I can, I'd like to bring back what she has lost, what she threw away.",bring
1035,Unnecessary thoughts will only interfere with your plays.,thoughts
1036,I'm not highly aware. I'm highly self-aware.,self-aware
1037,"Unfortunately... being a hero is a limited-time thing. When you grow up, it becomes harder to call yourself one. I wish it hadn't taken me so long to realize that.",long to realize
1038,"I'll keep my promise, I'll save the world. ",save
1039,Human beings are strong because we have the ability to change ourselves.,strong
1040,"Death is a privilege of the living. A destiny without reason, continually roving on, evermore. How fleeting a thing it is. One cannot live and forget about death. The despair that is me, forgotten by death, can at least embrace my yearning at twilight, and sleep.",despair
1041,"I wouldn't call myself a saint, but I think I do alright. My mind's about as sharp as the average person. When it comes to an iron will or noble spirit, well... I might have to ask you to turn a blind eye there...",turn
1042,"I always thought that life was about standing your ground, no matter how strong the current was. But going with the flow isn’t so bad after all. As long as it takes you forward.",long
1043,"People should be doubted. Many people misunderstand this concept. Doubting people is just a part of getting to know them. What many people call ""trust"" is really just giving up on trying to understand others, and that very act is far worse than doubting. It is actually ""apathy"".",worse than doubting
1044,"There are things that we don't want to happen, but have to accept. Things that we don't want to know, but have to learn. And people that we can't live without, but have to let go.",people
1045,"Do you know the origin of the word ""utopia""? The English philosopher, Thomas More, created this word with intense irony in mind. In Greek, it means ""A place that does not exist"".",place
1046,"Having the love of your life break up with you and say ""we can still be friends"", is like your dog dying and your mom saying ""you can still keep it"".",love
1047,"The throne itself does not half a will of its own. Depending upon who sits in it, it can be the seat of justice or it can be the seat of inhuman cruelty. As long as it is a man and not a god, doing the governing, he can never be perfect. But should he neglect to make efforts to reach for perfection, a king will surely tumble down the slippery slope towards evil with no one around to stop him.",god
1048,I don't think it's all that bad to be surrounded by people who don't care much about authority or social status. It's good to know that there are various various ways of thinking.,good
1049,"Does this world feel like hell to you? Of course it does, because it is. So take it all in, don't even blink, Miroku. There's no place like hell! We made it so. With our lust, and greed. It always comes down to this. Life is desire. It's what we do. When desire meets desire, the stronger survives. The predator will eat the prey. It's dirty, and cruel. But just look around you, there is so much beauty in this truth. And yet you still look away. And you waste all your time alone in your head. Don't deny your desires. Hell is the real paradise. And we, my friend, are in paradise! Don't look away, Miroku!",dirty
1050,"Oh, please. This world is so entertaining because it doesn't do anyone's bidding!",world
1051,"If you want to run from your past, fine. But whatever you do, don't run away from your present or worse, your future.",present
1052,"Maybe there’s only a dark road up ahead. But you still have to believe and keep going. Believe that the stars will light your path, even a little bit.",stars
1053,The same melody repeats itself as the song grows richer and more beautiful. Wouldn't it be wonderful if we could live seemingly constant lives while experiencing changes bit by bit?,wonderful
1054,There's always something one can't explain even if one has experience with it.,explain
1055,"Why won't human emotions, not even my own, work out the way we want?",human
1056,I'll leave tomorrow's problems to tomorrow's me.,leave
1057,A dream? A future? Stop going on about other people's futures when you haven't even decided your own! ,people futures
1058,"Ruling over death means ruling over life. Death is the climax of life. To have the best death, you must honor life. ",honor
1059,"Pretending to get along is just hypocritical. If you don't like me, that's fine. People are free to like and hate what they want.",free
1060,"Don't act because something is interesting, but act because you want to find something more interesting! In this world, there are so much interesting things. Do something that you don't want to do, you don't have even a second for it.",world
1061,"I'm sure that things that are truly fun can't be compared. Back then, now, and from now on, in the time you spend with others, lots of small fun things are born and disappear. If you are able to capture each of them, you'll never run out of fun things. Forever and ever. And here's one point of advice. Thinking that now is fun is what makes it the most fun.",advice
1062,I'm just a guy who's a hero for fun.,guy
1063,"In this world, there's no such thing as ""failure"" in the first place. The one who knows the ""ways to win"" more than anyone is also the one who's experienced the most ""mistakes"". In other words... You could say ""failure"" is equal to ""success""... Couldn't you?",equal
1064,Me? A liar? That's almost hurtful. I just don't feel like telling the whole truth.,feel like telling
1065,"Everyone dies eventually, whether they have power or not. That's why you need to think about what you'll accomplish while you're alive.",accomplish
1066,"Let’s say I posed this question to you: “Can all human souls be bought with money or not?” Now remember, the keyword here is “all”. The answer is “There are times when you can buy them, and other times, not,” right? The human being… sometimes he’ll uphold his pride and conscience even if he’s offered ten billion yen, and other times he’ll murder someone over one yen.",uphold
1067,You never appreciate the irreplaceable things in life until they're gone. Like summer vacation... or brothers.,summer
1068,People with talent often have the wrong impression that things will go as they think.,talent
1069,"I never thought about winning making me cool, or losing making me uncool. But you're right. If anything... Giving up before you even try is kind of uncool. That's why I want to be someone who'll fight as many times as it takes, and never give up. That's got to be way more cooler.",kind of uncool
1070,"I may not be able to beat you, even if we play a hundred more games. But if I have a chance of beating you the 101st time, I'll challenge you again and again.",chance
1071,"It's alright to feel sad. When you're sad, you should experience that sorrow fully. It's not too late to move on after that.",late to move
1072,"How do you know that the person you were one second ago, is the same person that you are right now?",person
1073,"If people could become friends simply by sharing bread and salt, life would be simpler.",people
1074,"...Without love, it cannot be seen? ...Hah. That's backwards... Because of love, you end up seeing things that don't even exist.",end
1075,"Don't deny your dreams, ok? There is no point at all in taking a first step, if your eyes are closed and you don't gaze at the future.",point
1076,Crying is a nosebleed of the heart.,nosebleed
1077,It's not a sin to fall in love. You can't even arrest someone over that.,arrest
1078,"If I ignore a friend I have the ability to help, wouldn't I be betraying him?",ignore
1079,Don't just mindlessly judge people as you please.,mindlessly
1080,There is one thing that makes a human a human... and that is their will.,thing
1081,"If providing people with what they desire is a sin, then all mothers are sinners, and the world is bereft of love.",providing
1082,"Sometimes, I just think... this world has surpassed its capacity. It's overflowing. Our day-to-day lives are replete with both happiness and misfortune. Yet, because we cannot see the excess from the inside, we still feel unfulfilled. Given that we are capable of acknowledging neither excess nor deprivation, we might as well not exist. In other words... you can't withdraw coins from an ATM. That's common sense.",replete
1083,"Even when the sky's so dark you can't see a thing, there are still stars shining out there. So if she can learn to shine brighter, we'll be able to see her.",learn
1084,"The weak can never break out of their own mold. They cry piteously within their cells, while they try to kick down anyone who strives to break free. ",strives to break
1085,You chose to go with the flow and you think that doesn't make you guilty?,chose
1086,"Every dream has an end...No matter how nice the dream might be, or how scary it is. Under your warm blanket, the dream comes to an abrupt end, when mother shakes you awake. Forever and ever, the morning scene remains the same. But now I... I wonder... when the dreams began to never end.",Forever
1087,It's called a miracle because it doesn't happen.,called
1088,"If you're going to selfishly admire someone only to be disillusioned later, then maybe you shouldn't try to get to know them better at all. ",selfishly
1089,"When you love someone, I think it's only natural to worry about what they love.",natural
1090,"You may be unfortunate, but that doesn't mean you have to suffer. You may not be blessed, but that doesn't mean you have to throw a fit over it. Even if bad things happen to you, just be strong!",bad
1091,It is absurd to divide people into good and bad. People are either charming or tedious.,charming
1092,"After all the hiding your true self, even if you eventually become popular, won't you just feel exhausted by it in the end?",hiding
1093,"I don't want to get so caught up in searching for what I can't see, that I lose sight of what I can.",caught
1094,I don't care if you're the son of the president or what. That just shows the success of your father. It doesn't mean you are excellent too.,excellent
1095,There was no meaning to things that were only superficial. That was a single belief that both me and her once shared. ,single
1096,Certain individuals can change the entire outlook of the team with their overwhelming abilities.,individuals
1097,Time is something no one can escape. It delivers us all to the same end.,delivers
1098,My happiness can only be... can only be made with my own hands! My happiness doesn't depend on anyone but me!,depend
1099,"If people scrutinize you, just ignore them and do whatever you want to do.",people
1100,"""Loneliness"" is no longer part of my vocabulary.",longer
1101,Death is never an apology.,Death
1102,"I believe in ghosts, even though I've never seen one before and get this. I don't believe in anyone of the people that have said they seen one before. It's kind of like how I think about the concept of love. Like I believe one day I'll fall in love, get married and live happily ever after, even though I've never actually fallen in love with anyone yet. You see what I'm saying? For some people falling in love is like second nature, but I can't even relate to that. So if I've never fallen in love before is it real? And that makes me wonder if ghost are real. I haven't seen one yet so maybe they're not.",day
1103,Those who can't do what they have to when the time comes for action will find their presence fading in our classroom. An assassin who neglects to sharpen his blade is no assassin at all. He's just a boastful brat swinging around a rusty sword.,boastful
1104,It's fine. Everyone makes mistakes. You just need to make an effort not to make the same mistake again.,make an effort
1105,The words you've said cannot be taken back. So you must take action to paint over what you have already said.,action
1106,The most certain way to succeed is to try one more time. Our greatest weakness lies in giving up.,greatest
1107,"There are only two times when a man can cry in public: when he loses his wallet and when his mother dies. And even if you cry in private, there's a severe restriction. Shed tears for others. The only thing you should be shedding for yourself is sweat. Remember that.",sweat
1108,The ideal tool for controlling people is fear. And nothing overwhelms people more than an unseen fear.,overwhelms
1109,"There are people who don't know you, who are saying a lot of awful things. But just saying stuff is easy, and anyone can do it. However...There's no one out there who could take your place.",stuff
1110,The difference between the novice and the master is that the master has failed more times than the novice has tried.,difference
1111,"You're not supposed to find yourself, you're supposed to choose yourself!",find
1112,"If you hurt somebody or if someone hurts you, - the same red blood will be shed.",hurt
1113,There are things you can't see unless you change your standing.,things
1114,"If the drive behind one's actions is the thought for another, then it is never meaningless.",drive
1115,"It's dangerous here. If you stare at the stars long enough, you start thinking you could grab one, and you get this feeling like all your dreams will come true.",stare
1116,"You're not a coward. I know that because you haven't given up yet. You're standing here. As long as you face the light and take even one step, the human soul can never truly be defeated.",long
1117,"When you fight hard and fail, the regret is easier to get past than the regret of not trying.",fight
1118,"If they find out what you did there, a lot of people will say a lot of things to you. Some will say you did the right thing. And some will say you did the wrong thing. But that's not what matters. No matter what anyone says, you don't have to worry. Because you didn't do the right thing, and you didn't do the wrong thing. It was all part of being young.",part
1119,"They are more like “people who don’t follow rules…” There are different kinds of people in different worlds! … Between you two and them, what is the difference? It isn’t unusual… to put it to an extreme… A hero during a war would be just another murderer in peaceful times. ",put
1120,"Regardless of what happens our lives are finite. We all know that we will grow old and that someday our lives will end. That's why we try so hard to live each day to the fullest. That's why we keep stumbling on by trial and error. But it isn't just for ourselves, it's so we can leave some signposts for the people following in our foot steps. To cowards who cling to where they are and who have given up on trying to move forward there is no way to see how bright the future is even though it's just around the corner!",corner
1121,"You can worry about things all you want, but it doesn't mean you'll always get an answer. What's important to remember, is that when it's all said and done and you got through it all somehow, are you the person you wanted to be?",important
1122,"Everyone is a slave to their past. No matter how much you wish to move forward, the events of last year will bear down on you like the light of the stars as soon as you glance up. Unable to laugh or to banish your past, you carry it ceaselessly in a corner of your heart, waiting for it to resurrect at an inopportune moment.",Unable
1123,To stop or to keep going? The one who decides is yourself.,decides
1124,You shouldn't judge people by how they look.,judge
1125,It is better to be hated for what you are. Than to be loved for what you are not.,loved
1126,"There's a limit to the strength of people who are isolated. If we do the best we can we should be fine. We don't grab a hold of the entire future. Let's just think about grabbing tomorrow. I think that's plenty for us, don't you?",plenty
1127,The Devil's finest trick is to persuade you that he does not exist.,finest
1128,The things we can't obtain are the most beautiful ones.,things
1129,We have no need for the past. All we need are the present and the future.,present
1130,"I think that sometimes things just won't go the way we want them to. And every day there's bound to be something that makes us mad when there's nothing we can do to change the state of affairs. But that's not entirely true, either. We have to give these kinds of things some real thought as well. If we're sitting back and waiting for the future to arrive - we don't have anything invested in tomorrow. I don't want a tomorrow like that.",sitting back
1131,"If you want to grow just look above you, there are plenty of people perfect to serve as fodder for your growth.",grow
1132,"Wake up princess, I'm tired of your useless ideals. It's gotten pathetic. What good are your happy ideals if you can't do anything to make them a reality? They're nothing but dreams, and your dreams don't stand a chance.",stand
1133,"I think you and I have different concepts of beauty. I was taught that it's beautiful to survive, unsightly or not.",taught
1134,There's nothing more deceiving than an obvious truth.,deceiving
1135,"The smile of you, who flew through this window and died, I won't ever forget, not even tomorrow.",smile
1136,The only one who should decide which path to follow is yourself.,decide
1137,The time when you're happy is also the time when you're afraid that the happiness will end.,happy
1138,What is really wicked... is judging people without even trying to get to know them!,judging
1139,Today's my birthday. During times like these I always think whether or not it was a good thing that I was born.,times
1140,"It is a sad truth that greater the authority a person possesses, the more he tends to fear change. ",sad
1141,"You're happy enough, so don't take away the happiness of others. You should share it.",share
1142,Kindness alone can't save people. It can't erase sin or wash away the impurities.,erase
1143,"This world revolves around two views on the same thing. In addition, it's about laughable miseries. ",laughable
1144,"There are all sorts of goodbyes. There are sad goodbyes, and sometimes goodbyes you're thankful for, that take a load off your mind. It often happens that someone you say goodbye to unexpectedly returns, all self-conscious. Then there are times when, anticipating that, you put on the front of a short goodbye, only to have them not return so soon. And then there are goodbyes that last forever, true goodbyes that only happen once in your life.",forever
1145,"Your impression of people is renewed every day. As you spend time with them and grow with them, you come to understand more.",spend
1146,"They say that in hard times, you'll never in your life forget the person who gave you a cup of water.",hard
1147,"There are people who ruin the atmosphere just by existing, you know.",people
1148,"Skilled only at making excuses that justify nothing, he is someone whose life has no value. The same goes for me. I have the right to stop you because I'm just like you.",stop
1149,"When you compare love and hate in this world... There is a lot more hate than love, and it's much stronger. So, if we consider every one of them as hate, we'll be right most of the time. I don't have time to pick out the truth anyway.",time to pick
1150,There're too many people who worry about the things I don't worry about.,people
1151,"To ensure that all I've done won't end up a lie. I don't want to talk big game to people, then run away when it matters the most. This is a wall I must overcome on my own. If there's anything I want to change, I have to change myself. If I must become evil to defeat evil, I will become the devil himself. That's all to it.",defeat
1152,Don't go believing everyone with glasses is smart!,believing
1153,"If we understood how other people felt, then nobody would ever start wars!",understood
1154,"As they say about the vulgar masses, the more people flock to a group, the more foolish they become. No matter how prominent an individual is, no, it’s because he is prominent that he would be blotted out by the sheer force of numbers when thrown into that lump of people. Individual will, qualifications, and personality, let alone emotions aren’t considered at all.",matter
1155, we aren’t able to. This is the society that we’re living in right now.,society
